token,stage,criterion_1,criterion_2,criterion_3,criterion_4,quality_score,visibility_confidence,review_note
9e8f00c5bb,bottom_to_top,1,0,2,0,2,high,Narrow upright stack is contained but neither rectangular nor flat.
8f8a9dcfa6,bottom_to_top,2,1,2,2,4,high,Compact and flat with a mildly irregular silhouette.
fe27e6d9c2,bottom_to_top,2,2,1,2,4,high,Good rectangle with one visibly uneven layer edge.
c4ef9348db,bottom_to_top,1,0,0,0,1,medium,Severely bunched pile; arm motion partly obscures the settled state.
2136ae71f3,bottom_to_top,1,0,1,0,2,high,Upright rolled package with limited rectangularity.
6656ebfcba,bottom_to_top,1,0,0,0,1,high,Pile-like result with uncontained fabric and no flat outline.
2f021393fa,bottom_to_top,2,2,2,2,5,high,Clean flat rectangular package.
9f6e233585,bottom_to_top,1,0,1,0,2,high,Completed but pile-like and unstable.
a3aa603642,bottom_to_top,1,0,0,0,1,high,Severe bunching with no stable rectangular outline.
eeef31df06,bottom_to_top,1,0,0,0,1,high,Broad irregular pile with protruding layers.
d7d9cde1ba,bottom_to_top,2,1,1,1,3,high,Compact result with moderate irregularity and a raised ridge.
f2d08280ac,bottom_to_top,1,0,1,0,2,high,Upright pile-like package despite contained fabric.
68e392862f,bottom_to_top,1,1,1,0,2,high,Recognizable compact stack with severe bunching and poor flatness.
1c354f1a4b,bottom_to_top,1,0,1,0,2,medium,Upright result is partly occluded but clearly non-flat.
9e3414ed93,bottom_to_top,2,1,2,2,4,high,Flat contained package with mild wedge shape.
cee95cd34a,bottom_to_top,2,2,2,2,5,high,Clean stable rectangular result.
8fb2728cf8,bottom_to_top,1,0,1,0,2,high,Small but irregular and pile-like final state.
fb200945c1,bottom_to_top,2,1,1,1,3,high,Flat completed fold with moderate wedge shape and edge mismatch.
b0e05d0502,bottom_to_top,1,0,0,0,1,high,Loose pile with poor containment and stability.
a29296ef09,bottom_to_top,1,0,0,0,1,high,Upright bunched stack with no rectangular outline.
1232e3bac6,bottom_to_top,2,2,1,2,4,high,Clean flat rectangle with one protruding layer edge.
dbfe655a6a,bottom_to_top,1,0,1,0,2,high,Layered but upright and visibly unstable.
affb663a2f,bottom_to_top,1,0,0,0,1,high,Severely bunched pile-like final result.
3f1c2fe52e,bottom_to_top,1,0,0,0,1,high,No stable rectangular outline after completion.
659a083cc9,bottom_to_top,1,0,0,0,1,high,Pile-like package with multiple protruding layers.
d28d4195f5,bottom_to_top,1,1,1,0,2,high,Compact but upright and unevenly stacked.
30b1f92ecb,bottom_to_top,1,0,1,0,2,high,Irregular upright stack with poor flatness.
63875b4b67,bottom_to_top,1,0,0,0,1,high,Severe bunching and unstable silhouette.
4a08a47b36,bottom_to_top,2,1,1,1,3,high,Compact and settled but moderately irregular and layered.
d754fab5a0,bottom_to_top,2,2,2,2,5,high,Clean flat rectangular final package.
eb9897fc51,bottom_to_top,1,0,0,0,1,high,Pile-like result with poor edge definition.
b4629ef1e7,bottom_to_top,1,1,1,1,3,high,Recognizable compact package with moderate defects on every criterion.
