episode_index,stage,token,old_v1_quality_score,criterion_1_name,raw_criterion_1_score,final_criterion_1_score,criterion_2_name,raw_criterion_2_score,final_criterion_2_score,criterion_3_name,raw_criterion_3_score,final_criterion_3_score,criterion_4_name,raw_criterion_4_score,final_criterion_4_score,raw_quality_score,raw_visibility_confidence,raw_review_note,temporal_reviewed,final_quality_score,final_label_confidence,adjudication_changed_score,adjudication_reason,retained_start_frame,retained_end_frame_exclusive,source_start_frame,source_end_frame_exclusive
4,side_two,08d6020ab9,2,second_side_placement,2,2,second_sleeve_containment,2,1,preservation_bilateral_alignment,2,2,flatness_straightness,2,1,5,high,Strong geometry and flatness throughout.,True,4,medium,True,The temporal views showed a rolled sleeve/edge and a non-flat end that were understated in the final base snapshots.,176,726,5802,6352
4,bottom_to_top,1c354f1a4b,1,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,1,1,flatness_stability,0,0,2,medium,Upright result is partly occluded but clearly non-flat.,True,2,medium,False,Temporal three-camera review confirmed the raw criterion scores.,726,1105,6352,6731
5,side_one,8dee14a5d9,5,lateral_placement,1,1,sleeve_side_containment,1,1,longitudinal_alignment,0,0,flatness_body_preservation,0,0,2,high,Severe diagonal bunching and body disturbance.,True,2,medium,False,Temporal three-camera review confirmed the raw criterion scores.,0,235,6939,7174
5,side_two,dabfd0e0ab,3,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,1,1,flatness_straightness,1,1,3,high,Wide and moderately asymmetric but usable.,False,3,medium,False,,235,652,7174,7591
5,bottom_to_top,2f021393fa,5,fold_placement_coverage,2,2,rectangularity_compactness,2,2,layer_edge_containment,2,2,flatness_stability,2,2,5,high,Clean flat rectangular package.,False,5,medium,False,,652,1241,7591,8180
6,side_one,0b29936457,4,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,2,2,flatness_body_preservation,2,2,4,high,Flat and straight; localized sleeve protrusion prevents top score.,False,4,medium,False,,0,157,8452,8609
6,side_two,ae0356d7ca,3,second_side_placement,1,1,second_sleeve_containment,0,0,preservation_bilateral_alignment,1,1,flatness_straightness,0,0,2,high,Large central bunch and poor edge containment.,False,2,medium,False,,157,696,8609,9148
6,bottom_to_top,fe27e6d9c2,5,fold_placement_coverage,2,2,rectangularity_compactness,2,2,layer_edge_containment,1,1,flatness_stability,2,2,4,high,Good rectangle with one visibly uneven layer edge.,False,4,medium,False,,696,1046,9148,9498
7,side_one,2aba10f26e,5,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,2,2,5,high,Clean flat aligned first fold.,False,5,medium,False,,0,138,9924,10062
7,side_two,af3f15a31b,3,second_side_placement,1,1,second_sleeve_containment,0,0,preservation_bilateral_alignment,1,1,flatness_straightness,0,0,2,medium,Result is partly in motion and visibly rolled and uncontained.,True,2,medium,False,Temporal three-camera review confirmed the raw criterion scores.,138,721,10062,10645
7,bottom_to_top,1232e3bac6,4,fold_placement_coverage,2,2,rectangularity_compactness,2,2,layer_edge_containment,1,1,flatness_stability,2,2,4,high,Clean flat rectangle with one protruding layer edge.,False,4,medium,False,,721,1022,10645,10946
8,side_one,f509b63506,3,lateral_placement,1,1,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,0,0,2,high,Substantial diagonal bunching despite completed topology.,False,2,medium,False,,0,179,11352,11531
8,side_two,ed6a969555,2,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,1,1,flatness_straightness,1,1,3,high,Moderate strip with a pronounced folded-end roll.,False,3,medium,False,,179,712,11531,12064
8,bottom_to_top,a29296ef09,1,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,Upright bunched stack with no rectangular outline.,False,1,medium,False,,712,1026,12064,12378
9,side_one,70e7707989,3,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,2,2,5,high,Clean stable first-side fold across all four criteria.,True,5,medium,False,Temporal three-camera review confirmed the raw criterion scores.,0,157,12615,12772
9,side_two,0033d0b2e8,2,second_side_placement,2,2,second_sleeve_containment,2,1,preservation_bilateral_alignment,2,2,flatness_straightness,2,1,5,high,Clean straight and flat two-sided result.,True,4,medium,True,The settled strip retained a protruding layered end and localized roll; containment and flatness are acceptable rather than strong.,157,796,12772,13411
9,bottom_to_top,9f6e233585,3,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,1,1,flatness_stability,0,0,2,high,Completed but pile-like and unstable.,False,2,medium,False,,796,1298,13411,13913
10,side_one,df4240f516,4,lateral_placement,1,1,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,0,0,2,high,Bunched side fold with poor flatness.,True,2,medium,False,Temporal three-camera review confirmed the raw criterion scores.,0,172,14165,14337
10,side_two,23ff55146e,3,second_side_placement,2,2,second_sleeve_containment,2,1,preservation_bilateral_alignment,2,2,flatness_straightness,2,1,5,high,Clean flat aligned strip.,True,4,medium,True,Temporal views showed a persistent protruding layered flap and localized unevenness at the strip end.,172,669,14337,14834
10,bottom_to_top,63875b4b67,3,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,Severe bunching and unstable silhouette.,True,1,medium,False,Temporal three-camera review confirmed the raw criterion scores.,669,1032,14834,15197
11,side_one,a9f731d31e,4,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,2,2,5,high,Strong placement containment alignment and flatness.,False,5,medium,False,,0,169,15415,15584
11,side_two,8a52890c5e,2,second_side_placement,1,1,second_sleeve_containment,0,0,preservation_bilateral_alignment,1,1,flatness_straightness,0,0,2,high,Second sleeve area remains heavily bunched and unstable.,False,2,medium,False,,169,631,15584,16046
11,bottom_to_top,9e8f00c5bb,5,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,2,2,flatness_stability,0,0,2,high,Narrow upright stack is contained but neither rectangular nor flat.,True,2,medium,False,Temporal three-camera review confirmed the raw criterion scores.,631,875,16046,16290
12,side_one,aff46e9092,4,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,1,1,3,high,Side is contained but tapered with a localized ridge.,False,3,medium,False,,0,199,16547,16746
12,side_two,44fe026147,4,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,4,high,Good bilateral alignment; localized sleeve-end bulge remains.,False,4,medium,False,,199,682,16746,17229
12,bottom_to_top,a3aa603642,1,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,Severe bunching with no stable rectangular outline.,False,1,medium,False,,682,936,17229,17483
13,side_one,dbe39241f6,5,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,2,2,5,high,Clean stable first-side fold.,False,5,medium,False,,0,249,17798,18047
13,side_two,5cef1a47c2,4,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,4,high,Well placed and aligned with an exposed folded-end edge.,False,4,medium,False,,249,766,18047,18564
13,bottom_to_top,30b1f92ecb,3,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,1,1,flatness_stability,0,0,2,high,Irregular upright stack with poor flatness.,False,2,medium,False,,766,1160,18564,18958
14,side_one,a58e68a826,4,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,1,1,3,medium,Outcome is usable but partly obscured during settling.,True,3,medium,False,Temporal three-camera review confirmed the raw criterion scores.,0,153,19285,19438
14,side_two,e9626ec1b8,3,second_side_placement,2,2,second_sleeve_containment,2,2,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,4,high,Good aligned strip with minor surface unevenness.,False,4,medium,False,,153,682,19438,19967
14,bottom_to_top,d7d9cde1ba,3,fold_placement_coverage,2,2,rectangularity_compactness,1,1,layer_edge_containment,1,1,flatness_stability,1,1,3,high,Compact result with moderate irregularity and a raised ridge.,False,3,medium,False,,682,909,19967,20194
15,side_one,5642d88c23,4,lateral_placement,1,1,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,0,0,2,high,Large central bunch compromises flatness and next-stage readiness.,True,2,medium,False,Temporal three-camera review confirmed the raw criterion scores.,0,181,20419,20600
15,side_two,0d8a03d95b,3,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,1,1,flatness_straightness,1,1,3,high,Moderately broad strip with a messy folded end.,False,3,medium,False,,181,645,20600,21064
15,bottom_to_top,cee95cd34a,4,fold_placement_coverage,2,2,rectangularity_compactness,2,2,layer_edge_containment,2,2,flatness_stability,2,2,5,high,Clean stable rectangular result.,False,5,medium,False,,645,900,21064,21319
16,side_one,68738f028e,5,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,1,1,3,high,Usable result with moderate skew and wrinkles.,True,3,medium,False,Temporal three-camera review confirmed the raw criterion scores.,0,262,21531,21793
16,side_two,f4e677afd5,4,second_side_placement,2,2,second_sleeve_containment,2,2,preservation_bilateral_alignment,2,2,flatness_straightness,2,2,5,high,Strong result on every second-stage criterion.,False,5,medium,False,,262,798,21793,22329
16,bottom_to_top,68e392862f,5,fold_placement_coverage,1,1,rectangularity_compactness,1,1,layer_edge_containment,1,1,flatness_stability,0,0,2,high,Recognizable compact stack with severe bunching and poor flatness.,True,2,medium,False,Temporal three-camera review confirmed the raw criterion scores.,798,1061,22329,22592
17,side_one,5c242e0682,4,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Good lateral placement; contained edge has a visible ridge.,False,4,medium,False,,0,304,22842,23146
17,side_two,8c61719788,3,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,2,2,4,high,Good stable strip with a localized rolled end.,False,4,medium,False,,304,948,23146,23790
17,bottom_to_top,d28d4195f5,1,fold_placement_coverage,1,1,rectangularity_compactness,1,1,layer_edge_containment,1,1,flatness_stability,0,0,2,high,Compact but upright and unevenly stacked.,False,2,medium,False,,948,1197,23790,24039
18,side_one,0daf369dca,5,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Good overall geometry with a bunched sleeve end.,False,4,medium,False,,0,204,24235,24439
18,side_two,f8b4358f02,4,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,3,high,First fold survives but width and containment are only acceptable.,False,3,medium,False,,204,704,24439,24939
18,bottom_to_top,d754fab5a0,5,fold_placement_coverage,2,2,rectangularity_compactness,2,2,layer_edge_containment,2,2,flatness_stability,2,2,5,high,Clean flat rectangular final package.,False,5,medium,False,,704,1020,24939,25255
19,side_one,d5d33af591,3,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,1,1,3,high,Correct topology with a bunched and tapered folded side.,False,3,medium,False,,0,244,25455,25699
19,side_two,53ffef3806,4,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,3,high,First fold is preserved but resulting strip is broad and uneven.,False,3,medium,False,,244,799,25699,26254
19,bottom_to_top,b4629ef1e7,3,fold_placement_coverage,1,1,rectangularity_compactness,1,1,layer_edge_containment,1,1,flatness_stability,1,1,3,high,Recognizable compact package with moderate defects on every criterion.,False,3,medium,False,,799,1082,26254,26537
20,side_one,d6eaafcc1f,4,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Well placed and aligned; sleeve-area bunching remains.,False,4,medium,False,,0,202,26736,26938
20,side_two,aedccddc65,4,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,1,1,flatness_straightness,1,1,3,high,Second side lands adequately but leaves bunching and asymmetry.,False,3,medium,False,,202,462,26938,27198
20,bottom_to_top,fb200945c1,4,fold_placement_coverage,2,2,rectangularity_compactness,1,1,layer_edge_containment,1,1,flatness_stability,1,1,3,high,Flat completed fold with moderate wedge shape and edge mismatch.,False,3,medium,False,,462,973,27198,27709
21,side_one,c71d7a6559,3,lateral_placement,1,1,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,1,1,3,high,Completed inward fold with moderate bunching and skew.,False,3,medium,False,,0,272,27984,28256
21,side_two,4128d23de7,4,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,4,high,Strong placement and preservation with a rolled end.,False,4,medium,False,,272,829,28256,28813
21,bottom_to_top,6656ebfcba,1,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,Pile-like result with uncontained fabric and no flat outline.,False,1,medium,False,,829,1095,28813,29079
22,side_one,89987f6e46,4,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Strong geometry with only localized surface unevenness.,False,4,medium,False,,0,247,29313,29560
22,side_two,716add9fc9,5,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,2,2,4,high,Strong flat strip with a localized containment defect.,False,4,medium,False,,247,571,29560,29884
22,bottom_to_top,9e3414ed93,5,fold_placement_coverage,2,2,rectangularity_compactness,1,1,layer_edge_containment,2,2,flatness_stability,2,2,4,high,Flat contained package with mild wedge shape.,False,4,medium,False,,571,963,29884,30276
23,side_one,236d20e52f,3,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,2,1,5,high,Clean contained first-side result.,True,4,medium,True,"Temporal wrist views showed a persistent layered ridge, so flatness is acceptable rather than strong.",0,249,30553,30802
23,side_two,a6fa656974,2,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,4,high,Good bilateral geometry with one rolled edge.,True,4,medium,False,Temporal three-camera review confirmed the raw criterion scores.,249,893,30802,31446
23,bottom_to_top,2136ae71f3,2,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,1,1,flatness_stability,0,0,2,high,Upright rolled package with limited rectangularity.,False,2,medium,False,,893,1255,31446,31808
24,side_one,a631949d3b,5,lateral_placement,1,1,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,1,1,3,high,Moderate placement and containment with broad wrinkling.,True,3,medium,False,Temporal three-camera review confirmed the raw criterion scores.,0,248,32017,32265
24,side_two,525e3f9152,4,second_side_placement,1,1,second_sleeve_containment,0,0,preservation_bilateral_alignment,1,1,flatness_straightness,0,0,2,high,Large uncontained crumple at the folded end.,True,2,medium,False,Temporal three-camera review confirmed the raw criterion scores.,248,753,32265,32770
24,bottom_to_top,4a08a47b36,5,fold_placement_coverage,2,2,rectangularity_compactness,1,1,layer_edge_containment,1,1,flatness_stability,1,1,3,high,Compact and settled but moderately irregular and layered.,True,3,medium,False,Temporal three-camera review confirmed the raw criterion scores.,753,991,32770,33008
25,side_one,dfffc74f9d,4,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Good placement and alignment with a localized protrusion.,False,4,medium,False,,0,296,33209,33505
25,side_two,075379e40d,3,second_side_placement,2,2,second_sleeve_containment,2,1,preservation_bilateral_alignment,2,2,flatness_straightness,2,1,5,high,Clean flat two-sided strip.,True,4,medium,True,Temporal views showed a protruding layered end and edge waviness not visible enough in the four-frame base panel.,296,894,33505,34103
25,bottom_to_top,01ffae7055,1,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,1,1,flatness_stability,0,0,2,high,Completed fold is pile-like but most layers remain localized.,False,2,medium,False,,894,1255,34103,34464
26,side_one,9e58186cee,4,lateral_placement,1,1,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,1,1,3,high,Moderate placement with visible bunching and uneven alignment.,False,3,medium,False,,0,191,34700,34891
26,side_two,08477f272e,4,second_side_placement,2,2,second_sleeve_containment,2,2,preservation_bilateral_alignment,2,2,flatness_straightness,2,2,5,high,Clean narrow and stable strip.,False,5,medium,False,,191,654,34891,35354
26,bottom_to_top,659a083cc9,3,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,Pile-like package with multiple protruding layers.,True,1,medium,False,Temporal three-camera review confirmed the raw criterion scores.,654,910,35354,35610
27,side_one,007e10665a,4,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Well positioned but not fully flat at the sleeve edge.,False,4,medium,False,,0,239,35842,36081
27,side_two,35dbf13519,3,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,4,high,Good placement and preservation with moderate end unevenness.,False,4,medium,False,,239,628,36081,36470
27,bottom_to_top,8fb2728cf8,2,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,1,1,flatness_stability,0,0,2,high,Small but irregular and pile-like final state.,False,2,medium,False,,628,1017,36470,36859
28,side_one,5ec4310a85,3,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Good fold line with a localized sleeve-side bunch.,False,4,medium,False,,0,276,37200,37476
28,side_two,bd84c570e5,2,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,3,high,First fold is preserved but final strip is broad with an edge roll.,False,3,medium,False,,276,866,37476,38066
28,bottom_to_top,eb9897fc51,3,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,Pile-like result with poor edge definition.,True,1,medium,False,Temporal three-camera review confirmed the raw criterion scores.,866,1112,38066,38312
29,side_one,6850920b45,4,lateral_placement,1,1,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,0,0,2,high,Pronounced central ridge and uneven fold placement.,True,2,medium,False,Temporal three-camera review confirmed the raw criterion scores.,0,246,38594,38840
29,side_two,81fccf761b,3,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,1,1,flatness_straightness,1,1,3,medium,Arm occlusion remains but the settled strip appears broad and uneven.,True,3,medium,False,Temporal three-camera review confirmed the raw criterion scores.,246,708,38840,39302
29,bottom_to_top,8f8a9dcfa6,5,fold_placement_coverage,2,2,rectangularity_compactness,1,1,layer_edge_containment,2,2,flatness_stability,2,2,4,high,Compact and flat with a mildly irregular silhouette.,False,4,medium,False,,708,1010,39302,39604
30,side_one,8855d57426,3,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Well aligned with a small residual wrinkle.,False,4,medium,False,,0,273,39832,40105
30,side_two,40721547fb,2,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,1,1,flatness_straightness,1,1,3,high,Usable two-side state with moderate width and alignment defects.,False,3,medium,False,,273,797,40105,40629
30,bottom_to_top,eeef31df06,2,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,Broad irregular pile with protruding layers.,False,1,medium,False,,797,1124,40629,40956
31,side_one,4d95493d32,5,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,2,2,5,high,Strong result on every criterion.,False,5,medium,False,,0,228,41150,41378
31,side_two,47a9da4192,3,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,1,1,flatness_straightness,1,1,3,high,Broad strip with a pronounced rolled end.,False,3,medium,False,,228,687,41378,41837
31,bottom_to_top,b0e05d0502,1,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,Loose pile with poor containment and stability.,False,1,medium,False,,687,1003,41837,42153
32,side_one,8834b3ccc7,4,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Straight contained fold with minor unevenness.,False,4,medium,False,,0,303,42350,42653
32,side_two,6b23a2e95c,4,second_side_placement,2,2,second_sleeve_containment,2,2,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,4,high,Good narrow aligned strip with a localized ridge.,False,4,medium,False,,303,841,42653,43191
32,bottom_to_top,3f1c2fe52e,1,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,No stable rectangular outline after completion.,False,1,medium,False,,841,1098,43191,43448
